Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0102396246406552,0.00854684129585948,0.0332945972401038,0,0,0,46.7274022031895,0.960922201093069,0.000109319164800288,0.0492534639952522,0.760619645967608,-0.000255202085830921,0.432460212521213,0,0,0,0,0,0,package://URDF_simple/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/base_link.STL,,BODY00_ASM_4_ASM_1_ASM_1_ASM-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LHipRoll_link,0.13021928809687,3.33066907387547E-16,-0.00888568839028298,0,0,0,1.69434323504352,0.00199665914671213,-2.12485609700659E-19,0.000146534373681756,0.00223922130841761,-2.03786990884474E-19,0.00300599284958996,0,0,0,0,0,0,package://URDF_simple/meshes/LHipRoll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/LHipRoll_link.STL,,left_roll_hip_link^工业直线型-1,LHipRoll_coord,LHipRoll_axis,LHipRoll,revolute,-0.122,0.12,-0.16643,0,0,0,base_link,1,0,0,1000,1000,-3.14,3.14,,,,,,,,
LHipYaw_link,-0.00269025547603879,1.11022302462516E-16,-0.0633712626847869,0,0,0,0.744057032961987,0.001591459112424,-3.36057869246938E-20,-2.99060228521477E-05,0.000843060895021706,-2.60493997069846E-19,0.00181197877707163,0,0,0,0,0,0,package://URDF_simple/meshes/LHipYaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/LHipYaw_link.STL,,left_yaw_hip_link^工业直线型-1,LHipYaw_coord,LHipYaw_axis,LHipYaw,revolute,0.135,0,-0.0029565,0,0,0,LHipRoll_link,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
LHipPitch_link,-0.0168439785420255,-0.0610000000000015,-0.187953684008689,0,0,0,3.19020037536046,0.0448919929501429,-3.2408522403589E-18,-0.00197401415020948,0.0410279037536727,3.00648495155626E-16,0.011057403447688,0,0,0,0,0,0,package://URDF_simple/meshes/LHipPitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/LHipPitch_link.STL,,left_pitch_hip_link^工业直线型-1,LHipPitch_coord,LHipPitch_axis,LHipPitch,revolute,0,0.061,-0.101,0,0,0,LHipYaw_link,0,1,0,1000,1000,-3.14,3.14,,,,,,,,
LKneePitch_link,0.0349025911908908,-0.0554601382772695,-0.12480829356831,0,0,0,2.98268257269848,0.0354601069454126,-9.37663403132723E-08,4.91066832515987E-05,0.0365565087036136,5.61041992304333E-08,0.00327868744565483,0,0,0,0,0,0,package://URDF_simple/meshes/LKneePitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/LKneePitch_link.STL,,left_pitch_knee_link^工业直线型-1,LKneePitch_coord,LKneePitch_axis,LKneePitch,revolute,0.0001663,-0.0055,-0.38,0,0,0,LHipPitch_link,0,1,0,1000,1000,-3.14,3.14,,,,,,,,
LAnklePitch_link,1.52941798114981E-10,-0.0178499999976304,6.68354260824344E-14,0,0,0,0.259599480305956,3.74006940089086E-05,-6.7133061834045E-17,-7.322581253912E-09,3.7400690644867E-05,1.5337500190006E-13,5.41332571433322E-05,0,0,0,0,0,0,package://URDF_simple/meshes/LAnklePitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/LAnklePitch_link.STL,,left_pitch_ankle_link^工业直线型-1,LAnklePitch_coord,LAnklePitch_axis,LAnklePitch,revolute,0.0001663,-0.03765,-0.38,0,0,0,LKneePitch_link,0,1,0,1000,1000,-3.14,3.14,,,,,,,,
LAnkleRoll_link,-0.00958187853867769,1.68361441710285E-05,-0.0593481777464786,0,0,0,1.71825340064192,0.0010133350011228,-9.17868340566451E-07,2.94368797043498E-05,0.00420031756931061,-2.43706567584623E-09,0.00508044717228725,0,0,0,0,0,0,package://URDF_simple/meshes/LAnkleRoll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/LAnkleRoll_link.STL,,left_roll_foot_link-1,LAnkleRoll_coord,LAnkleRoll_axis,LAnkleRoll,revolute,0.01785,-0.01785,0,0,0,0,LAnklePitch_link,1,0,0.00043762,1000,1000,-3.14,3.14,,,,,,,,
RHipRoll_link,0.13021928809687,1.11022302462516E-16,-0.00888568839028285,0,0,0,1.69434323504352,0.00199665914671213,-2.62275640677723E-19,0.000146534373681757,0.00223922130841761,-4.00059824495263E-19,0.00300599284958996,0,0,0,0,0,0,package://URDF_simple/meshes/RHipRoll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/RHipRoll_link.STL,,right_roll_hip_link^工业直线型-1,RHipRoll_coord,RHipRoll_axis,RHipRoll,revolute,-0.122,-0.12,-0.16643,0,0,0,base_link,1,0,0,1000,1000,-3.14,3.14,,,,,,,,
RHipYaw_link,-0.00269025547603881,1.11022302462516E-16,-0.0633712626847868,0,0,0,0.744057032961986,0.001591459112424,-1.51087704206769E-19,-2.99060228521479E-05,0.000843060895021705,3.86097413268211E-19,0.00181197877707162,0,0,0,0,0,0,package://URDF_simple/meshes/RHipYaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/RHipYaw_link.STL,,right_yaw_hip_link^工业直线型-1,RHipYaw_coord,RHipYaw_axis,RHipYaw,revolute,0.135,0,-0.0029565,0,0,0,RHipRoll_link,0,0,1,1000,1000,-3.14,3.14,,,,,,,,
RHipPitch_link,-0.0168439785420255,0.0610000000000008,-0.187953684008689,0,0,0,3.19020037536046,0.0448919929501428,7.29738664808629E-18,-0.0019740141502095,0.0410279037536726,-3.20880601577436E-16,0.011057403447688,0,0,0,0,0,0,package://URDF_simple/meshes/RHipPitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF_simple/meshes/RHipPitch_link.STL,,right_pitch_hip_link^工业直线型-1,RHipPitch_coord,RHipPitch_axis,RHipPitch,revolute,0,-0.061,-0.101,0,0,0,RHipYaw_link,0,1,0,1000,1000,-3.14,3.14,,,,,,,,
